filename,orgname,label
hiphop.00100.wav,ES_1 IN A MILLION - Tilden Parc.wav,hiphop
hiphop.00101.wav,ES_1 of a Kind - Yomoti.wav,hiphop
hiphop.00102.wav,ES_2020 Baby - Dylan Sitts.wav,hiphop
hiphop.00103.wav,"ES_222 - Sarah, the Illstrumentalist.wav",hiphop
hiphop.00104.wav,ES_3 Days in Kadikoy - Matt Large.wav,hiphop
hiphop.00105.wav,ES_35mm - Ballpoint.wav,hiphop
hiphop.00106.wav,ES_3_02 PM - Tilden Parc.wav,hiphop
hiphop.00107.wav,ES_4 Course Meal - Matt Large.wav,hiphop
hiphop.00108.wav,"ES_4 Malcolm - Sarah, the Illstrumentalist.wav",hiphop
hiphop.00109.wav,ES_50 Rounds - Toby Tranter.wav,hiphop
hiphop.00110.wav,ES_80's Game Time - DJ DENZ The Rooster.wav,hiphop
hiphop.00111.wav,ES_100 Club - Nbhd Nick.wav,hiphop
hiphop.00112.wav,ES_A City in Ruins - Matt Large.wav,hiphop
hiphop.00113.wav,ES_A la Playa - Guustavv.wav,hiphop
hiphop.00114.wav,ES_A Lemon - Justnormal.wav,hiphop
hiphop.00115.wav,ES_A Love Waltz - Justnormal.wav,hiphop
hiphop.00116.wav,ES_A Team - Xavy Rusan.wav,hiphop
hiphop.00117.wav,ES_AIR FORCE ONE - BLUE STEEL.wav,hiphop
hiphop.00118.wav,ES_All Mines - Iso Indies.wav,hiphop
hiphop.00119.wav,ES_Aqua Flute - Osoku.wav,hiphop
hiphop.00120.wav,ES_Around the Way - Iso Indies.wav,hiphop
hiphop.00121.wav,ES_Backseat Driver - baegel.wav,hiphop
hiphop.00122.wav,ES_Bag Chasing Enthusiast - peerless.wav,hiphop
hiphop.00123.wav,ES_Be Humble - Iso Indies.wav,hiphop
hiphop.00124.wav,ES_Big City Issues - Daniel Fridell.wav,hiphop
hiphop.00125.wav,ES_Bipolar - Lukas Got Lucky.wav,hiphop
hiphop.00126.wav,ES_Blackberry - Xavy Rusan.wav,hiphop
hiphop.00127.wav,ES_Blindsided - Dylan Sitts.wav,hiphop
hiphop.00128.wav,ES_Bluedreams - Xavy Rusan.wav,hiphop
hiphop.00129.wav,ES_BMX Backflip - peerless.wav,hiphop
hiphop.00130.wav,ES_Can't Get Stirred - Witchitaw Slim.wav,hiphop
hiphop.00131.wav,ES_Carbon Copy - Auxjack.wav,hiphop
hiphop.00132.wav,ES_Careless Condition - Norman Sann.wav,hiphop
hiphop.00133.wav,ES_Cascading Dreams - William Claeson.wav,hiphop
hiphop.00134.wav,ES_Cashfly - Cushy.wav,hiphop
hiphop.00135.wav,ES_Cayman - HDBeenDope.wav,hiphop
hiphop.00136.wav,ES_Ceiling - Witchitaw Slim.wav,hiphop
hiphop.00137.wav,ES_Celsius - A P O L L O.wav,hiphop
hiphop.00138.wav,ES_Changing Seasons - Mizlo.wav,hiphop
hiphop.00139.wav,ES_Chit Chat - Tilden Parc.wav,hiphop
hiphop.00140.wav,ES_Christmas in the City - Damma Beatz.wav,hiphop
hiphop.00141.wav,ES_Common for Me - Witchitaw Slim.wav,hiphop
hiphop.00142.wav,ES_Computah - Lukas Got Lucky.wav,hiphop
hiphop.00143.wav,ES_Con Bajo Fidelidad - The Fly Guy Five.wav,hiphop
hiphop.00144.wav,ES_Conjuring - DonVayei.wav,hiphop
hiphop.00145.wav,ES_Constant Stuff - Dylan Sitts.wav,hiphop
hiphop.00146.wav,"ES_Cordyline - Sarah, the Illstrumentalist.wav",hiphop
hiphop.00147.wav,ES_CRASHPLAY - PinkLooksWhite.wav,hiphop
hiphop.00148.wav,ES_Crunching - Azucares.wav,hiphop
hiphop.00149.wav,ES_Curve Ball - Xavy Rusan.wav,hiphop
hiphop.00150.wav,ES_D.W.B - Norman Sann.wav,hiphop
hiphop.00151.wav,ES_DARPA - BLUE STEEL.wav,hiphop
hiphop.00152.wav,ES_Decision Maker - Dylan Sitts.wav,hiphop
hiphop.00153.wav,ES_Deuce - Iso Indies.wav,hiphop
hiphop.00154.wav,ES_Dinner in Oaxaca - Guustavv.wav,hiphop
hiphop.00155.wav,ES_Disser - Azucares.wav,hiphop
hiphop.00156.wav,ES_DND - Nbhd Nick.wav,hiphop
hiphop.00157.wav,ES_Don't Do That - Iso Indies.wav,hiphop
hiphop.00158.wav,ES_Donliver - Azucares.wav,hiphop
hiphop.00159.wav,ES_Draft Pick - Ballpoint.wav,hiphop
hiphop.00160.wav,ES_Drop Ship - Xavy Rusan.wav,hiphop
hiphop.00161.wav,ES_Earwaves - Iso Indies.wav,hiphop
hiphop.00162.wav,ES_Ebb n Flow - Pandaraps.wav,hiphop
hiphop.00163.wav,"ES_Echinacea - Sarah, the Illstrumentalist.wav",hiphop
hiphop.00164.wav,ES_Elephanti - Osoku.wav,hiphop
hiphop.00165.wav,ES_Eleven Seventeen - Tilden Parc.wav,hiphop
hiphop.00166.wav,ES_Episodes - Matt Large.wav,hiphop
hiphop.00167.wav,ES_Euphoric - Iso Indies.wav,hiphop
hiphop.00168.wav,ES_Falling 2.0 - Tilden Parc.wav,hiphop
hiphop.00169.wav,ES_First Born - Iso Indies.wav,hiphop
hiphop.00170.wav,ES_First Class Boarding Pass - peerless.wav,hiphop
hiphop.00171.wav,ES_FLOATiiNG - Tilden Parc.wav,hiphop
hiphop.00172.wav,ES_Flowers in Heaven - Lukas Got Lucky.wav,hiphop
hiphop.00173.wav,ES_Funky Moves You Can't Beat - baegel.wav,hiphop
hiphop.00174.wav,ES_Garabato LoFi - Daniel Fridell.wav,hiphop
hiphop.00175.wav,ES_GODSPEED - STRLGHT.wav,hiphop
hiphop.00176.wav,ES_Goin' Off - A P O L L O.wav,hiphop
hiphop.00177.wav,ES_GRAB YOUR FRIENDS A COPY - Superintendent McCupcakes.wav,hiphop
hiphop.00178.wav,ES_Gravity Loss - Auxjack.wav,hiphop
hiphop.00179.wav,ES_Green Cascade - Jobii.wav,hiphop
hiphop.00180.wav,"ES_Grey Hematite - Sarah, the Illstrumentalist.wav",hiphop
hiphop.00181.wav,ES_Gualala (Waves) - Pandaraps.wav,hiphop
hiphop.00182.wav,ES_GUAPO - BLUE STEEL.wav,hiphop
hiphop.00183.wav,ES_GUNSHY - Nyck Caution.wav,hiphop
hiphop.00184.wav,ES_H20 - Lukas Got Lucky.wav,hiphop
hiphop.00185.wav,"ES_Habit Stacking - Sarah, the Illstrumentalist.wav",hiphop
hiphop.00186.wav,ES_Hostages - Damma Beatz.wav,hiphop
hiphop.00187.wav,ES_I Been Down - Nbhd Nick.wav,hiphop
hiphop.00188.wav,"ES_I Enjoy My Space - Sarah, the Illstrumentalist.wav",hiphop
hiphop.00189.wav,ES_IF BABY WANNA SIT - Superintendent McCupcakes.wav,hiphop
hiphop.00190.wav,ES_Invisible Reflections - Ryan James Carr.wav,hiphop
hiphop.00191.wav,ES_Jet Pipe - Tilden Parc.wav,hiphop
hiphop.00192.wav,ES_Jungle Boy - DonVayei.wav,hiphop
hiphop.00193.wav,ES_Karen's Tune - Matt Large.wav,hiphop
hiphop.00194.wav,ES_Kerfuffle - Jobii.wav,hiphop
hiphop.00195.wav,ES_KO - Superintendent McCupcakes.wav,hiphop
hiphop.00196.wav,ES_La Sortie Francaise - Smartface.wav,hiphop
hiphop.00197.wav,ES_Laboratoire - peerless.wav,hiphop
hiphop.00198.wav,ES_Lava_Powers - Janset.wav,hiphop
hiphop.00199.wav,ES_Leaky Ceiling - Dylan Sitts.wav,hiphop
hiphop.00200.wav,ES_Left Palm - peerless.wav,hiphop
hiphop.00201.wav,ES_Lil Sayin' from Tennessee - Pandaraps.wav,hiphop
hiphop.00202.wav,ES_Lofi on the Bass - Daniel Fridell.wav,hiphop
hiphop.00203.wav,ES_Losing Steam - Damma Beatz.wav,hiphop
hiphop.00204.wav,ES_MACHO - BLUE STEEL.wav,hiphop
hiphop.00205.wav,ES_Many Lies - Iso Indies.wav,hiphop
hiphop.00206.wav,ES_Medellin - DonVayei.wav,hiphop
hiphop.00207.wav,ES_Midnight Haze - Jobii.wav,hiphop
hiphop.00208.wav,ES_Mirror Moving - Dylan Sitts.wav,hiphop
hiphop.00209.wav,ES_Moon Lilies - baegel.wav,hiphop
hiphop.00210.wav,ES_More Scrubs - Pandaraps.wav,hiphop
hiphop.00211.wav,ES_Move to Your Flow - Witchitaw Slim.wav,hiphop
hiphop.00212.wav,ES_Never Met Em - Xavy Rusan.wav,hiphop
hiphop.00213.wav,ES_Nice Coat - Dylan Sitts.wav,hiphop
hiphop.00214.wav,ES_No Thank You - Damma Beatz.wav,hiphop
hiphop.00215.wav,ES_Obsessed Pt. 2 - Katori Walker.mp3,hiphop
hiphop.00216.wav,ES_Oceantic - Daniel Fridell.wav,hiphop
hiphop.00217.wav,ES_Only the Real - Iso Indies.wav,hiphop
hiphop.00218.wav,ES_Optimism in a Void - Auxjack.wav,hiphop
hiphop.00219.wav,ES_Oui Hours - Xavy Rusan.wav,hiphop
hiphop.00220.wav,ES_Our Jam - Sam Kramer.wav,hiphop
hiphop.00221.wav,ES_OVAL OFFICE - BLUE STEEL.wav,hiphop
hiphop.00222.wav,ES_Over Time - Tilden Parc.wav,hiphop
hiphop.00223.wav,ES_Overstand - Homebody.wav,hiphop
hiphop.00224.wav,ES_Pandora - The New Fools.wav,hiphop
hiphop.00225.wav,ES_Per Aspera - Auxjack.wav,hiphop
hiphop.00226.wav,ES_Perceptive Perspective - Auxjack.wav,hiphop
hiphop.00227.wav,ES_Play It Smoove - Witchitaw Slim.wav,hiphop
hiphop.00228.wav,ES_PLAY MAKERS - Tilden Parc.wav,hiphop
hiphop.00229.wav,ES_Please (Sister) - Pandaraps.wav,hiphop
hiphop.00230.wav,ES_Pop Chevy - Damma Beatz.wav,hiphop
hiphop.00231.wav,ES_Possession - Dylan Sitts.wav,hiphop
hiphop.00232.wav,ES_Pretty Paper - Tilden Parc.wav,hiphop
hiphop.00233.wav,ES_Pure Spirit - Tilden Parc.wav,hiphop
hiphop.00234.wav,ES_R U Down_ - Katori Walker.wav,hiphop
hiphop.00235.wav,ES_RATHER BE ALONE - STRLGHT.wav,hiphop
hiphop.00236.wav,ES_Really Hurts - HATAMITSUNAMI.wav,hiphop
hiphop.00237.wav,ES_Reparations - Iso Indies.wav,hiphop
hiphop.00238.wav,ES_Resale - Dylan Sitts.wav,hiphop
hiphop.00239.wav,ES_Ribs - Xavy Rusan.wav,hiphop
hiphop.00240.wav,ES_Santa Monica - Timothy Infinite.wav,hiphop
hiphop.00241.wav,ES_Sicario - DonVayei.wav,hiphop
hiphop.00242.wav,ES_Sidetalk - Damma Beatz.wav,hiphop
hiphop.00243.wav,ES_Sidewaze - Pandaraps.wav,hiphop
hiphop.00244.wav,ES_Sky High - Iso Indies.wav,hiphop
hiphop.00245.wav,ES_Slimulation - Witchitaw Slim.wav,hiphop
hiphop.00246.wav,ES_Snow Day - Dylan Sitts.wav,hiphop
hiphop.00247.wav,ES_Sonata for Solitude - William Claeson.wav,hiphop
hiphop.00248.wav,ES_Sound Mind - Matt Large.wav,hiphop
hiphop.00249.wav,ES_Sour Turn - Pandaraps.wav,hiphop
hiphop.00250.wav,ES_Space Foliage - Auxjack.wav,hiphop
hiphop.00251.wav,ES_Stargaze - Auxjack.wav,hiphop
hiphop.00252.wav,ES_Starlight - Iso Indies.wav,hiphop
hiphop.00253.wav,ES_Stars and Below - Sven Lindvall.wav,hiphop
hiphop.00254.wav,ES_Stasis - Gregory David.wav,hiphop
hiphop.00255.wav,ES_Stolen Valor - Damma Beatz.wav,hiphop
hiphop.00256.wav,ES_Store Credit - Dylan Sitts.wav,hiphop
hiphop.00257.wav,ES_Suited Up - Iso Indies.wav,hiphop
hiphop.00258.wav,ES_Summer Let Down - Superintendent McCupcakes.wav,hiphop
hiphop.00259.wav,ES_Summertime in NY - Nbhd Nick.wav,hiphop
hiphop.00260.wav,ES_Switch Up - Auxjack.wav,hiphop
hiphop.00261.wav,ES_Take Time - Norman Sann.wav,hiphop
hiphop.00262.wav,ES_Tangerine Tambourine - Xavy Rusan.wav,hiphop
hiphop.00263.wav,ES_That's All - Witchitaw Slim.wav,hiphop
hiphop.00264.wav,ES_The Bunker Freestyle - Iso Indies.wav,hiphop
hiphop.00265.wav,ES_The Ends - A P O L L O.wav,hiphop
hiphop.00266.wav,ES_The Main Event - Matt Large.wav,hiphop
hiphop.00267.wav,ES_The Most - Xavy Rusan.wav,hiphop
hiphop.00268.wav,ES_The Quiet Room - Tilden Parc.wav,hiphop
hiphop.00269.wav,ES_There's No Need - HATAMITSUNAMI.wav,hiphop
hiphop.00270.wav,ES_They Know - Nbhd Nick.wav,hiphop
hiphop.00271.wav,ES_Three Four - Jobii.wav,hiphop
